image,x,y,r,g,b
gb-nir,9,2,255,255,255
gb-nir,9,3,255,255,255
gb-nir,9,4,255,255,255
gb-nir,9,5,204,0,0
gb-nir,9,6,204,0,0
gb-nir,9,7,255,255,255
gb-nir,9,8,255,255,255
gb-nir,9,9,255,255,255
gb-nir,9,10,255,255,255
gb-nir,10,1,255,255,255
gb-nir,10,2,255,255,255
gb-nir,10,3,255,255,255
gb-nir,10,4,255,255,255
gb-nir,10,5,204,0,0
gb-nir,10,6,204,0,0
gb-nir,10,7,255,255,255
gb-nir,10,8,255,255,255
gb-nir,10,9,255,255,255
gb-nir,10,10,255,255,255
ly,1,1,231,0,19
ly,1,2,231,0,19
ly,1,3,0,0,0
ly,1,4,0,0,0
ly,1,5,0,0,0
ly,1,6,0,0,0
ly,1,7,0,0,0
ly,1,8,35,158,70
ly,1,9,35,158,70
ly,1,10,35,158,70
ly,2,1,231,0,19
ly,2,2,231,0,19
ly,2,3,0,0,0
ly,2,4,0,0,0
ly,2,5,0,0,0
ly,2,6,0,0,0
ly,2,7,0,0,0
ly,2,8,35,158,70
ly,2,9,35,158,70
ly,2,10,35,158,70
ly,3,1,231,0,19
ly,3,2,231,0,19
ly,3,3,0,0,0
ly,3,4,0,0,0
ly,3,5,0,0,0
ly,3,6,0,0,0
ly,3,7,0,0,0
ly,3,8,35,158,70
ly,3,9,35,158,70
ly,3,10,35,158,70
ly,4,1,231,0,19
ly,4,2,231,0,19
ly,4,3,0,0,0
ly,4,4,0,0,0
ly,4,5,0,0,0
ly,4,6,0,0,0
ly,4,7,0,0,0
ly,4,8,35,158,70
ly,4,9,35,158,70
ly,4,10,35,158,70
ly,5,1,231,0,19
ly,5,2,231,0,19
ly,5,3,0,0,0
ly,5,4,0,0,0
ly,5,5,255,255,255
ly,5,6,255,255,255
ly,5,7,0,0,0
ly,5,8,35,158,70
ly,5,9,35,158,70
ly,5,10,35,158,70
ly,6,1,231,0,19
ly,6,2,231,0,19
ly,6,3,0,0,0
ly,6,4,0,0,0
ly,6,5,0,0,0
ly,6,6,0,0,0
ly,6,7,0,0,0
ly,6,8,35,158,70
ly,6,9,35,158,70
ly,6,10,35,158,70
ly,7,1,231,0,19
ly,7,2,231,0,19
ly,7,3,0,0,0
ly,7,4,0,0,0
ly,7,5,0,0,0
ly,7,6,0,0,0
ly,7,7,0,0,0
ly,7,8,35,158,70
ly,7,9,35,158,70
ly,7,10,35,158,70
ly,8,1,231,0,19
ly,8,2,231,0,19
ly,8,3,0,0,0
ly,8,4,0,0,0
ly,8,5,0,0,0
ly,8,6,0,0,0
ly,8,7,0,0,0
ly,8,8,35,158,70
ly,8,9,35,158,70
ly,8,10,35,158,70
ly,9,1,231,0,19
ly,9,2,231,0,19
ly,9,3,0,0,0
ly,9,4,0,0,0
ly,9,5,0,0,0
ly,9,6,0,0,0
ly,9,7,0,0,0
ly,9,8,35,158,70
ly,9,9,35,158,70
ly,9,10,35,158,70
ly,10,1,231,0,19
ly,10,2,231,0,19
ly,10,3,0,0,0
ly,10,4,0,0,0
ly,10,5,0,0,0
ly,10,6,0,0,0
ly,10,7,0,0,0
ly,10,8,35,158,70
ly,10,9,35,158,70
ly,10,10,35,158,70
ge,1,1,255,255,255
ge,1,2,255,255,255
